Gender,Country,Time,Value
female,World,2017,100667154.54472
female,World,2018,102401974.34285
female,World,2019,103836421.5525
female,World,2020,103051316.09691
female,World,2021,97956504.78638
female,World,2022,95413877.79197
female,World,2023,97903083.66316
female,World,2017,100667154.54472
female,World,2018,102401974.34285
female,World,2019,103836421.5525
female,World,2020,103051316.09691
female,World,2021,97956504.78638
female,World,2022,95413877.79197
female,World,2023,97903083.66316
male,World,2017,108660935.49927
male,World,2018,110304123.47446
male,World,2019,111976072.69656
male,World,2020,111566106.86785
male,World,2021,105480999.30884
male,World,2022,102310905.17757
male,World,2023,104799426.71319
male,World,2017,108660935.49927
male,World,2018,110304123.47446
male,World,2019,111976072.69656
male,World,2020,111566106.86785
male,World,2021,105480999.30884
male,World,2022,102310905.17757
male,World,2023,104799426.71319
